FileName,Method,Precision,OriFileSize,CompressedSize,CompressionRatio,Qfsize,CompressedQfsize,Compressiontime,Decompressiontime,Dataset
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLDLIQ_1_26_1800_3600.f32,mac,0.01,673920000,98611890,6.834064,168480000,96464104,112.238407,96.635981,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLDLIQ_1_26_1800_3600.f32,orisz,0.01,673920000,113400677,5.9428220000000005,168480000,119166239,47.48735,9.058762,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLDLIQ_1_26_1800_3600.f32,zfp,0.01,673920000,254151792,2.651643707473839,/,/,5.615145206451416,5.620503664016724,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,adt_fse,0.0001,673920000,179994924,3.744106,168480000,184016801,83.291504,18.684747,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,lpaq,0.0001,673920000,147703520,4.562654,168480000,144524583,582.971279,530.2221910000002,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,mac,0.0001,673920000,169419509,3.977818,168480000,166241786,186.386346,145.941917,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,orisz,0.0001,673920000,172936352,3.896925,168480000,184529782,78.991163,10.475387,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,zfp,0.0001,673920000,307494912,2.191646019820972,/,/,8.216896772384644,4.402220964431763,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,adt_fse,0.001,673920000,127029098,5.3052410000000005,168480000,130460550,57.544499,15.578793,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,lpaq,0.001,673920000,99468768,6.775192,168480000,97123751,475.99733,463.829377,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,mac,0.001,673920000,103692261,6.499231,168480000,101361112,135.730695,111.659234,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,orisz,0.001,673920000,118397018,5.692035,168480000,130748605,49.223023,9.061351,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,zfp,0.001,673920000,289777688,2.3256448923010247,/,/,4.9978883266448975,5.186421632766724,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,adt_fse,0.01,673920000,73708895,9.142994,168480000,76577475,34.470512,16.279394,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,lpaq,0.01,673920000,59897711,11.251181,168480000,57999625,421.155958,415.900981,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,mac,0.01,673920000,58475954,11.524737,168480000,56579211,87.91755400000002,80.53916,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,orisz,0.01,673920000,67611077,9.967597,168480000,77902371,34.808558000000005,7.560678999999999,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CLOUD_1_26_1800_3600.f32,zfp,0.01,673920000,240965520,2.7967486800601185,/,/,6.026713609695435,3.9710199832916255,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,adt_fse,0.0001,673920000,158338453,4.256199,168480000,159011737,108.847763,70.841961,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,lpaq,0.0001,673920000,132981145,5.067786,168480000,132712422,578.186164,537.247201,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,mac,0.0001,673920000,152024772,4.432962,168480000,151753045,209.072094,169.326895,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,orisz,0.0001,673920000,161757496,4.1662370000000015,168480000,182867838,70.2469,10.799095,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,zfp,0.0001,673920000,178421760,3.7771177685950414,/,/,4.182955503463745,3.161803960800172,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,adt_fse,0.001,673920000,124736735,5.402739,168480000,130964901,56.673237,16.645625,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,lpaq,0.001,673920000,96537064,6.980946,168480000,96313078,486.552178,488.460417,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,mac,0.001,673920000,106508945,6.327356,168480000,106284608,149.88325,131.584334,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,orisz,0.001,673920000,117596883,5.730764,168480000,132657961,50.91362700000001,8.477473,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,zfp,0.001,673920000,178413568,3.7772911979429726,/,/,3.753108739852905,4.338788032531738,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,adt_fse,0.01,673920000,83890860,8.033294999999999,168480000,89483209,38.590112,15.5133,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,lpaq,0.01,673920000,62266819,10.8231,168480000,62071832,444.116355,427.528398,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,mac,0.01,673920000,64285589,10.48322,168480000,64090944,122.519194,113.345673,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,orisz,0.01,673920000,74951545,8.991408999999997,168480000,89219739,34.978777,6.352799,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDQR_1_26_1800_3600.f32,zfp,0.01,673920000,178410720,3.777351495470677,/,/,3.94064736366272,3.3105857372283936,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,adt_fse,0.0001,673920000,203481381,3.311949,168480000,200765096,96.632732,18.782673000000006,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,lpaq,0.0001,673920000,178704350,3.771145,168480000,173250373,671.3443679999998,582.620922,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,mac,0.0001,673920000,201813193,3.339326,168480000,196357752,222.47691,175.187942,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,orisz,0.0001,673920000,201439186,3.345526,168480000,219102194,86.446148,13.910598,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,zfp,0.0001,673920000,325144576,2.0726779707990577,/,/,7.893280982971191,6.317060947418213,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,adt_fse,0.001,673920000,160005547,4.211854,168480000,163060770,78.416781,17.473485,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,lpaq,0.001,673920000,131602217,5.1208860000000005,168480000,127431553,538.143369,519.73348,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,mac,0.001,673920000,144037034,4.678797,168480000,139865868,172.3209,143.395607,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,orisz,0.001,673920000,150648914,4.473447,168480000,164385969,62.454978,9.601187,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,zfp,0.001,673920000,277987384,2.424282678957834,/,/,4.934849262237549,4.445819616317749,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,adt_fse,0.01,673920000,111614735,6.037912,168480000,114066097,48.111822,16.345806,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,lpaq,0.01,673920000,89288330,7.547683,168480000,85137901,459.151264,461.768776,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,mac,0.01,673920000,93401847,7.215275,168480000,89251152,133.577602,122.480753,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,orisz,0.01,673920000,104832913,6.428515,168480000,114533108,47.587741,7.9059300000000015,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/CMFDT_1_26_1800_3600.f32,zfp,0.01,673920000,233393968,2.887478223087582,/,/,4.085198163986206,3.8497376441955566,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/DCQ_1_26_1800_3600.f32,adt_fse,0.0001,673920000,253955091,2.653698,168480000,251289723,116.399853,21.965937,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/DCQ_1_26_1800_3600.f32,lpaq,0.0001,673920000,221813257,3.038231,168480000,216285185,690.2859269999999,641.479048,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/DCQ_1_26_1800_3600.f32,mac,0.0001,673920000,243125315,2.771904,168480000,237596503,216.159687,160.729175,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/DCQ_1_26_1800_3600.f32,orisz,0.0001,673920000,247731580,2.720364,168480000,252876023,96.187009,14.581051,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/DCQ_1_26_1800_3600.f32,zfp,0.0001,673920000,446426920,1.5095863842619526,/,/,7.2003014087677,5.631381034851074,CESM-ATM
CESM-ATM/SDRBENCH-CESM-ATM-26x1800x3600/DCQ_1_26_1800_3600.f32,adt_fse,0.001,673920000,188430192,3.5764970000000003,168480000,183279136,84.71194200000002,21.386205,CESM-ATM
